,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
232,NO,YES,YES,NO,NO DIFFICULTY,13.3,FEMALE,13.2,Fourth,Pre-primary or none
233,NO,NO,NO,NO,NO DIFFICULTY,11.8,FEMALE,21.1,Richest,Secondary
234,YES,YES,YES,NO,NO DIFFICULTY,14.4,FEMALE,13.8,Fourth,Secondary
236,NO,YES,YES,NO,NO DIFFICULTY,10.3,FEMALE,3.2,Middle,Higher secondary+
237,YES,YES,NO,YES,NO DIFFICULTY,12.1,MALE,17.0,Poorest,Primary
238,YES,YES,YES,NO,HAVE DIFFICULTY,12.9,FEMALE,19.6,Poorest,Primary
240,YES,NO,NO,NO,HAVE DIFFICULTY,11.4,MALE,15.9,Poorest,Primary
242,NO,YES,YES,NO,NO DIFFICULTY,15.1,FEMALE,26.7,Fourth,Primary
243,YES,YES,NO,YES,HAVE DIFFICULTY,10.6,FEMALE,1.6,Poorest,Primary
244,NO,YES,YES,NO,NO DIFFICULTY,12.9,FEMALE,4.5,Poorest,Primary
246,NO,YES,YES,NO,NO DIFFICULTY,11.4,MALE,3.6,Poorest,Primary
248,NO,YES,YES,NO,NO DIFFICULTY,11.9,MALE,8.2,Middle,Secondary
249,YES,YES,NO,YES,HAVE DIFFICULTY,10.4,MALE,3.3,Poorest,Secondary
255,NO,YES,YES,NO,NO DIFFICULTY,9.7,MALE,0.0,Poorest,Secondary
256,YES,NO,NO,NO,NO DIFFICULTY,14.8,MALE,39.6,Poorest,Secondary
257,YES,YES,NO,YES,HAVE DIFFICULTY,11.5,FEMALE,5.8,Poorest,Secondary
258,NO,NO,YES,NO,NO DIFFICULTY,15.3,FEMALE,64.9,Poorest,Secondary
262,NO,YES,YES,NO,NO DIFFICULTY,9.7,MALE,0.9,Poorest,Primary
263,NO,YES,YES,NO,NO DIFFICULTY,12.2,MALE,36.7,Fourth,Secondary
264,YES,YES,NO,YES,NO DIFFICULTY,12.3,MALE,25.0,Richest,Secondary
266,YES,YES,YES,NO,NO DIFFICULTY,14.1,MALE,5.4,Middle,Higher secondary+
267,YES,YES,NO,YES,NO DIFFICULTY,10.9,FEMALE,14.6,Poorest,Secondary
268,NO,NO,YES,NO,HAVE DIFFICULTY,12.2,MALE,0.6,Poorest,Primary
